year,Temp,DO,PH,Conductivity,BOD,NO3-,FC,TC
2014,30.6,6.7,7.5,203,NAN,0.1,11,27
2014,29.8,5.7,7.2,189,2,0.2,4953,8391
2014,29.5,6.3,6.9,179,1.7,0.1,3243,5330
2014,29.7,5.8,6.9,64,3.8,0.5,5382,8443
2014,29.5,5.8,7.3,83,1.9,0.4,3428,5500
2014,30,5.5,7.4,81,1.5,0.1,2853,4049
2014,29.2,6.1,6.7,308,1.4,0.3,3355,5672
2014,29.6,6.4,6.7,414,1,0.2,6073,9423
2014,30,6.4,7.6,305,2.2,0.1,3478,4990
2014,30.1,6.3,7.6,77,2.3,0.1,2606,4301
2014,27.8,7.1,7.1,176,1.2,0.1,4573,7817
2014,27.9,6.7,6.4,93,1.4,0.1,2147,3433
2014,29.3,7.4,6.8,121,1.7,0.4,11633,18125
2014,29.2,6.9,7,620,1.1,0.1,3500,6300
2014,30,6,7.5,72,1.6,0.2,4995,9517
2014,29,7.3,7,247,1.5,0.2,1095,2453
2014,29.1,7.3,7,188,1,0.1,1286,3048
2014,28.7,7,6.9,224,1.2,0.3,3896,6742
2014,28.7,7.3,6.7,144,1.5,0.1,1940,3052
2014,29.5,5.3,6.8,319,1.8,0.3,6458,10250
2014,29,6.3,6.4,79,1.6,1.4,7592,12842
2014,29.4,5.4,7.6,39,1.4,0.1,3176,6367
2014,28.3,2.2,6.5,322,4.7,1.2,11210,14920
2014,30.1,5.2,7.1,192,2.6,0.3,5073,8925
2014,30.3,5.6,7.5,282,1.8,0.1,3205,5082
2014,30.5,5.5,7.4,275,1.5,0.1,4698,8625
2014,29.1,7.3,6.7,55,1.4,0.1,2638,4003
2014,30.1,6.5,7.5,415,2,0.1,864,1538
2014,29.2,7.2,6.3,100,1.5,0.1,7942,13575
2014,25.1,6.6,7.8,95,4.9,0.2,16,36
2014,29.6,6.9,7.9,99,5,0.4,15,34
2014,27.4,6.8,7.7,85,5.2,0.3,11,23
2014,27.8,6.7,7.8,80,4.9,0.3,12,29
2014,30.6,5.1,7.3,3937,10.3,1.8,31,83
2014,25,5.6,7.9,468,3.6,1.9,66,164
2014,25,6.4,7.6,541,5.7,0.6,23,45
2014,25,5.5,7.4,6166,7.7,1.1,44,67
2014,25.3,5.3,7.7,24062,9.9,1.2,156,304
2014,25.1,6.7,7.6,83,4.8,0.2,28,76
2014,26.1,3.6,7.4,4424,31.3,2.2,276,474
2014,21.4,7.2,7.7,226,3.1,0.8,NAN,130
2014,27.4,5.9,7.4,268,6.4,0.4,37,68
2014,27.1,5.4,7.5,2413,7.4,1.5,59,116
2014,27.2,5.8,7.3,384,5.4,0.6,37,78
2014,27.3,5.9,7.4,269,5.1,1.2,34,60
2014,27,6,7.3,269,8.5,0.4,32,58
2014,27.2,6.1,7.3,196,6.1,0.5,30,63
2014,27,5.9,7.4,269,6.4,0.4,19,47
2014,22.6,6.3,7.8,223,4.6,0.9,15,32
2014,28.4,6.7,7.3,9293,3.5,1.8,NAN,0
2014,28,6.8,7.2,170,3.1,1.4,NAN,0
2014,27.6,6.8,7.3,4175,3.3,1.6,NAN,0
2014,27.9,6.9,7.3,4282,3.3,1.6,NAN,0
2014,28.1,6.9,7.3,5551,3.4,1.7,NAN,0
2014,27.1,6.8,7.9,5390,4.9,0.8,15,28
2014,27.6,6.6,8.1,161,4.6,0.3,16,32
2014,27.3,6.7,8,138,5,0.3,14,33
2014,27.8,6.7,7.8,81,4.9,0.3,14,35
2014,28,5.9,7.7,194,5.5,0.6,22,51
2014,28.1,6.3,7.6,186,4.6,0.6,13,31
2014,28.6,6.6,7.6,207,4.7,0.7,12,31
2014,26.9,6.8,7.7,85,5,0.4,15,34
2014,23,7.1,7.4,176,2.7,0.9,NAN,30
2014,23,7,7.4,178,2.7,0.9,NAN,40
2014,23,7.2,7.2,180,2.7,1,NAN,70
2014,25.1,6.7,7.5,85,1.4,1,183,420
2014,24.6,5.8,7.4,77,1.4,0.8,285,691
2014,25.7,6.6,7.5,75,1.4,0.7,183,448
2014,24.8,6.7,7.5,82,1.4,1,161,443
2014,27.3,6.7,6.9,56,0.9,0.2,82,172
2014,27.5,6.5,6.7,2240,1.2,0.2,136,304
2014,25.2,6.3,6.9,73,1.6,0,787,2008
2014,29.9,7,7.4,130,0.7,0.1,301,590
2014,29.8,6.6,7.7,191,1.6,0.2,362,661
2014,27.8,6.9,6.9,134,1.1,0.4,249,531
2014,26.7,7,7.5,80,0.8,0.4,2573,3583
2014,25.8,6.7,7.4,14526,0.8,0.6,1411,1969
2014,26.4,7.2,7.4,82,0.7,0.5,840,1311
2014,29.8,7.5,7.2,67,1.1,0.1,76,590
2014,28.6,3,6.6,965,1.7,1.2,247,530
2014,26.9,5.9,7.4,17990,0.7,0.5,1888,2803
2014,26,6.7,7.5,90,1.6,0.9,199,473
2014,23.6,6.1,7.4,4429,2,1.6,243,550
2014,30.3,6.7,6.9,87,1.7,0.2,155,350
2014,30.7,6.9,6.8,85,1.6,0.2,82,206
2014,28.7,2.1,6.8,101,1.6,0.8,431,694
2014,28.2,2.5,6.9,83,1.9,0.3,353,656
2014,24.8,7.2,7.6,75,1.4,1,188,426
2014,26.3,3.7,7.7,32005,1.2,0.9,40000,60392
2014,29.2,6.1,7.6,281,1.2,0.7,384,718
2014,26.6,6.7,7.6,106,0.5,2.5,44,71
2014,30.4,7.6,7.1,58,1.2,0.1,163,961
2014,25.5,1.9,7.7,2941,26.9,2.8,10875,37375
2014,25.1,7.4,7,35,0.1,0,165,409
2014,28.9,6.4,7.2,63,1.3,0.4,121,535
2014,28.8,5.4,6.7,65,1.1,0.3,60,144
2014,29.3,5.6,7.3,90,1.6,0.4,268,705
2014,29.5,7.1,8,728,1.2,0.4,374,697
2014,28.4,5.9,6.8,13953,1.5,0.4,70,166
2014,26.9,7.4,6.9,57,1.1,0.3,70,159
2014,25.8,7.2,7.2,41,0.7,0.2,441,658
2014,26.6,6.5,7.4,71,0.6,0.3,4192,7018
2014,25.3,6.8,7.1,81,0.8,0,389,1268
2014,28.2,6.8,6.9,68,1.7,0.1,449,660
2014,28.5,6.6,7,70,1.4,0.1,550,822
2014,27.6,6.4,7.7,100,0.6,0.9,56,88
2014,29,7.3,6.9,96,1.9,0.2,89,825
2014,27.5,6.8,6.6,49,0.5,0.4,1719,2950
2014,30,5.6,7.2,24360,2.1,0.3,92,447
2014,27.8,6.9,6.8,59,0.6,0.5,1916,3375
2014,30.2,7.1,6.8,14410,1.8,0.1,65,468
